service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
31,1,1,1,1,1,0,0,20251108,20261108
32,0,0,0,0,0,1,0,20251108,20261108
63,1,1,1,1,1,1,0,20251108,20261108
64,0,0,0,0,0,0,1,20251108,20261108
160,0,0,0,0,0,1,0,20251108,20261108
191,1,1,1,1,1,1,0,20251108,20261108
192,0,0,0,0,0,0,1,20251108,20261108
224,0,0,0,0,0,1,1,20251108,20261108
255,1,1,1,1,1,1,1,20251108,20261108
